Date,Crypto,Predicted
2025-02-10,BITCOIN,0.007439021
2025-02-11,BITCOIN,0.012864214
2025-02-12,BITCOIN,0.0020659985
2025-02-13,BITCOIN,0.0040524723
2025-02-10,DOGE,-0.012156107
2025-02-11,DOGE,-0.012586391
2025-02-12,DOGE,-0.013404863
2025-02-13,DOGE,0.022680514
2025-02-10,ETH,-0.0067558438
2025-02-11,ETH,-0.009828456
2025-02-12,ETH,0.0062381816
2025-02-13,ETH,0.015826643
2025-02-10,MAGA,0.01358464
2025-02-11,MAGA,0.059304208
2025-02-12,MAGA,-0.06874191
2025-02-13,MAGA,-0.10189781
2025-02-10,NEAR,-0.0034521387
2025-02-11,NEAR,-0.014570437
2025-02-12,NEAR,-0.010297346
2025-02-13,NEAR,-0.0049650287
2025-02-10,PEPE,-0.034260437
2025-02-11,PEPE,-0.0031063159
2025-02-12,PEPE,-0.07096149
2025-02-13,PEPE,-0.041987814
2025-02-10,SOLANA,0.023839075
2025-02-11,SOLANA,0.019490948
2025-02-12,SOLANA,0.021275818
2025-02-13,SOLANA,0.026630927
2025-02-10,XRP,0.030113176
2025-02-11,XRP,0.056709938
2025-02-12,XRP,0.06874979
2025-02-13,XRP,0.059997767
